unitid,institutionname,fein,newfein
219091,Dakota Wesleyan University,460224589,460224589
224226,Dallas Baptist University,756001300,756001300
224244,Dallas Christian College,751051193,751051193
182670,Dartmouth College,20222111,20222111
169479,Davenport University,381945965,381945965
198385,Davidson College,560529961,560529961
237358,Davis & Elkins College,550357021,550357021
194569,Davis College,156019050,156019050
165574,Dean College,42104149,42104149
202514,Defiance College,344430762,344430762
211981,Delaware Valley University,231352665,231352665
202523,Denison University,314379459,314379459
144740,DePaul University,362167048,362167048
150400,DePauw University,350869045,350869045
210739,DeSales University,231653718,231653718
212009,Dickinson College,231365954,231365954
158802,Dillard University,720408929,720408929
153241,Divine Word College,420788226,420788226
181020,Doane University-Arts & Sciences,470377991,470377991
448284,Doane University-Graduate and Professional Studies,470377991,470377991
190761,Dominican College of Blauvelt,131967322,131967322
148496,Dominican University,362167855,362167855
113698,Dominican University of California,941156525,941156525
155007,Donnelly College,480623882,480623882
153250,Dordt College,420772559,420772559
190770,Dowling College,112157078,112157078
153269,Drake University,41103730,41103730
184348,Drew University,221487164,221487164
212054,Drexel University,231352630,231352630
177214,Drury University,440552049,440552049
198419,Duke University,560532129,560532129
175227,Dunwoody College of Technology,410693856,410693856
212106,Duquesne University,251035663,251035663
150455,Earlham College,350868073,350868073
224527,East Texas Baptist University,750859801,750859801
144883,East-West University,391353508,391353508
232043,Eastern Mennonite University,540575812,540575812
165644,Eastern Nazarene College,42105777,42105777
212133,Eastern University,231409675,231409675
446233,Ecclesia College,710477536,710477536
133492,Eckerd College,590859121,590859121
238661,Edgewood College,390806202,390806202
133526,Edward Waters College,591146751,591146751
212197,Elizabethtown College,231352632,231352632
480134,Elizabethtown College School of Continuing and Professional Studies,231352632,231352632
144962,Elmhurst College,362169145,362169145
190983,Elmira College,160743996,160743996
198516,Elon University,560532303,560532303
133553,Embry-Riddle Aeronautical University-Daytona Beach,590936101,590936101
104586,Embry-Riddle Aeronautical University-Prescott,590936101,590936101
426314,Embry-Riddle Aeronautical University-Worldwide,590936101,590936101
165662,Emerson College,41286950,41286950
165671,Emmanuel College,42105769,42105769
139630,Emmanuel College,580633977,580633977
153302,Emmaus Bible College,362270695,362270695
232025,Emory & Henry College,540505892,540505892
139658,Emory University,580566256,580566256
165699,Endicott College,42103567,42103567
124487,Epic Bible College,592161558,592161558
217998,Erskine College,570314390,570314390
144971,Eureka College,370673484,370673484
177339,Evangel University,10402130,10402130
179070,Everest College-Springfield,330717311,330717311
260293,Everest University-Brandon,330717605,330717605
438902,Everest University-Jacksonville,330717605,330717605
367909,Everest University-Lakeland,330717605,330717605
137810,Everest University-Largo,330717605,330717605
420006,Everest University-Melbourne,330717605,330717605
136288,Everest University-North Orlando,330717605,330717605
445434,Everest University-Orange Park,330717605,330717605
134149,Everest University-Pompano Beach,330717605,330717605
390701,Everest University-South Orlando,330717605,330717605
137801,Everest University-Tampa,330717605,330717605
385619,Everglades University,591765552,591765552
196680,Excelsior College,141599643,141599643
129242,Fairfield University,60646623,60646623
184694,Fairleigh Dickinson University-College at Florham,221494434,221494434
184603,Fairleigh Dickinson University-Metropolitan Campus,221494434,221494434
153320,Faith Baptist Bible College and Theological Seminary,470394397,470394397
443049,Faith Evangelical College & Seminary,911559533,911559533
212452,Faith Theological Seminary,231416559,231416559
443058,Family of Faith College,731523469,731523469
101189,Faulkner University,630329409,630329409
184612,Felician University,221912028,221912028
232089,Ferrum College,540506457,540506457
172440,Finlandia University,381359570,381359570
165802,Fisher College,42005934,42005934
220181,Fisk University,620202000,620202000
133711,Flagler College-St Augustine,591157081,591157081
133809,Florida College,590737882,590737882
133881,Florida Institute of Technology,596046500,596046500
480569,Florida Institute of Technology-Online,596046500,596046500
133979,Florida Memorial University,590668483,590668483
134079,Florida Southern College,590624401,590624401
177418,Fontbonne University,430694556,430694556
191241,Fordham University,131740451,131740451
205957,Franciscan University of Steubenville,340714818,340714818
104665,Frank Lloyd Wright School of Architecture,860197576,860197576
212577,Franklin and Marshall College,231352635,231352635
150604,Franklin College,350868086,350868086
182795,Franklin Pierce University,20263136,20263136
202806,Franklin University,310707369,310707369
441982,Franklin W Olin College of Engineering,61519057,61519057
220215,Freed-Hardeman University,620518288,620518288
114813,Fresno Pacific University,941021164,941021164
155089,Friends University,480547702,480547702
218070,Furman University,570314395,570314395
131450,Gallaudet University,530199507,530199507
212601,Gannon University,250496976,250496976
198561,Gardner-Webb University,560529972,560529972
212656,Geneva College,250965376,250965376
208822,George Fox University,930386839,930386839
131469,George Washington University,530196584,530196584
156745,Georgetown College,610444695,610444695
131496,Georgetown University,530196603,530196603
461236,Georgia Christian University,582205600,582205600
184773,Georgian Court University,210634981,210634981
212674,Gettysburg College,231352641,231352641
230889,Goddard College,30179419,30179419
202903,Gods Bible School and College,310544271,310544271
115083,Golden Gate University-San Francisco,941585735,941585735
130989,Goldey-Beacom College,510109178,510109178
235316,Gonzaga University,910236600,910236600
202912,Good Samaritan College of Nursing and Health Science,311778403,311778403
129154,Goodwin College,61627882,61627882
165936,Gordon College,42104258,42104258
150668,Goshen College,352158366,352158366
162654,Goucher College,520591613,520591613
170000,Grace Bible College,381673400,381673400
150677,Grace College and Theological Seminary,350868095,350868095
461528,Grace College of Divinity,562195966,562195966
481058,Grace Mission University,954559065,954559065
481401,Grace School of Theology,760690847,760690847
181093,Grace University,470384159,470384159
153366,Graceland University-Lamoni,420707114,420707114
153375,Grand View University,420681049,420681049
212771,Gratz College,231352642,231352642
170091,Great Lakes Christian College,386080947,386080947
230898,Green Mountain College,30179299,30179299
198598,Greensboro College,560532144,560532144
145372,Greenville College,370681530,370681530
153384,Grinnell College,420680387,420680387
212805,Grove City College,251065148,251065148
198613,Guilford College,560529982,560529982
173647,Gustavus Adolphus College,410695524,410695524
212832,Gwynedd Mercy University,231352613,231352613
225201,Hallmark University,454620000,454620000
191515,Hamilton College,150532200,150532200
173665,Hamline University,410693960,410693960
232256,Hampden-Sydney College,540505906,540505906
166018,Hampshire College,46130872,46130872
232265,Hampton University,540505990,540505990
177542,Hannibal-LaGrange University,431007642,431007642
150756,Hanover College,350868096,350868096
225247,Hardin-Simmons University,750808791,750808791
107044,Harding University,710236896,710236896
446640,Harrisburg University of Science and Technology,251900793,251900793
191533,Hartwick College,150533561,150533561
166027,Harvard University,42103580,42103580
115409,Harvey Mudd College,951911219,951911219
181127,Hastings College,470376525,470376525
212911,Haverford College,236002304,236002304
141644,Hawaii Pacific University,990113930,990113930
166045,Hebrew College,42104300,42104300
145497,Hebrew Theological College,362167095,362167095
203085,Heidelberg University,344428219,344428219
191597,Helene Fuld College of Nursing,133705284,133705284
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,42218946,42218946
107080,Hendrix College,710236897,710236897
198677,Heritage Bible College,561212691,561212691
101453,Heritage Christian University,237013287,237013287
235422,Heritage University,911160585,911160585
198695,High Point University,560529999,560529999
191621,Hilbert College,166031585,166031585
207157,Hillsdale Free Will Baptist College,730774245,730774245
203128,Hiram College,340714670,340714670
220312,Hiwassee College,620511454,620511454
191630,Hobart William Smith Colleges,160743040,160743040
134510,Hobe Sound Bible College,591407629,591407629
367884,Hodges University,596605703,596605703
191649,Hofstra University,111630906,111630906
232308,Hollins University,540506314,540506314
129534,Holy Apostles College and Seminary,61149131,61149131
150774,Holy Cross College,351148835,351148835
212984,Holy Family University,231501197,231501197
115728,Holy Names University,941358307,941358307
162760,Hood College,520591608,520591608
170301,Hope College,381381271,381381271
120537,Hope International University,951916051,951916051
457226,Horizon University,261901554,261901554
191676,Houghton College,160743045,160743045
225399,Houston Baptist University,741400699,741400699
225548,Howard Payne University,750800653,750800653
131520,Howard University,530204707,530204707
115773,Humphreys College-Stockton and Modesto Campuses,941196198,941196198
101435,Huntingdon College,630288841,630288841
150941,Huntington University,350868101,350868101
449348,Huntsville Bible College,631191637,631191637
161165,Husson University,10271210,10271210
225575,Huston-Tillotson University,741180151,741180151
145691,Illinois College,370661211,370661211
145725,Illinois Institute of Technology,362170136,362170136
145646,Illinois Wesleyan University,370662594,370662594
213011,Immaculata University,231352648,231352648
465812,Independence University,562363990,562363990
151290,Indiana Institute of Technology,350845258,350845258
151801,Indiana Wesleyan University-Marion,350885591,350885591
436614,International Baptist College and Seminary,860257221,860257221
191931,Iona College,133508093,133508093
153621,Iowa Wesleyan University,420680332,420680332
191968,Ithaca College,150532204,150532204
134945,Jacksonville University,590624412,590624412
225885,Jarvis Christian College,750995027,750995027
231837,Jefferson College of Health Sciences,540506332,540506332
192040,Jewish Theological Seminary of America,130887640,130887640
107141,John Brown University,710239576,710239576
203368,John Carroll University,340714681,340714681
116712,John F. Kennedy University,941610694,941610694
462354,John Paul the Great Catholic University,200471061,200471061
162928,Johns Hopkins University,520595110,520595110
445708,Johnson & Wales University-Charlotte,50306206,50306206
439288,Johnson & Wales University-Denver,50306206,50306206
414823,Johnson & Wales University-North Miami,50306206,50306206
460349,Johnson & Wales University-Online,50306206,50306206
217235,Johnson & Wales University-Providence,50306206,50306206
198756,Johnson C Smith University,250983069,250983069
220473,Johnson University,626001104,626001104
132879,Johnson University Florida,510173775,510173775
135063,Jones College-Jacksonville,590587238,590587238
101541,Judson College,630288850,630288850
146339,Judson University,362515868,362515868
213251,Juniata College,231352652,231352652
170532,Kalamazoo College,381358014,381358014
177746,Kansas City Art Institute,440546278,440546278
155414,Kansas Wesleyan University,480543729,480543729
192165,Kehilath Yakov Rabbinical Seminary,113073915,113073915
135081,Keiser University-Ft Lauderdale,591829662,591829662
177816,Kenrick Glennon Seminary,430653244,430653244
157100,Kentucky Christian University,610510937,610510937
157030,Kentucky Mountain Bible College,611103422,611103422
157076,Kentucky Wesleyan College,610466713,610466713
203535,Kenyon College,314379507,314379507
